group,family,size,direction,depth,materialization,mode,implementation,samples,completed,timeouts,failures,planned_answers,definitive_answers,unknown_answers,resource_answers,facts_min,facts_max,definitive_coverage,wall_ms_q25,wall_ms_median,wall_ms_q75,peak_rss_kib_q25,peak_rss_kib_median,peak_rss_kib_q75,load_ms_q25,load_ms_median,load_ms_q75,query_ms_q25,query_ms_median,query_ms_q75,certificate_ms_q25,certificate_ms_median,certificate_ms_q75,withdrawal_ms_q25,withdrawal_ms_median,withdrawal_ms_q75,reassertion_ms_q25,reassertion_ms_median,reassertion_ms_q75,reopen_ms_q25,reopen_ms_median,reopen_ms_q75,bytes_q25,bytes_median,bytes_q75,steps_q25,steps_median,steps_q75,validation_ms_q25,validation_ms_median,validation_ms_q75,serialization_ms_q25,serialization_ms_median,serialization_ms_q75
bounds,chain,8,forward,5,False,verdict,nibli,15,15,0,0,15,12,3,0,8,8,0.8,2988.8571579995187,3775.140277999526,5088.952989999598,6820.0,6820.0,6948.0,0.539478,0.5667139999999999,0.6022639999999999,2982.672799,3764.921182,5080.092575000001,,,,,,,,,,,,,,,,,,,,,,,,
bounds,chain,8,forward,5,True,verdict,nibli,15,15,0,0,15,15,0,0,8,8,1.0,2967.5321465001616,3741.5752220003924,4855.110613001671,6820.0,6820.0,6948.0,0.537681,0.541783,0.5483285,2961.157843,3735.329725,4848.9988135,,,,,,,,,,,,,,,,,,,,,,,,
bounds,chain,8,forward,10,False,verdict,nibli,15,15,0,0,15,12,3,0,8,8,0.8,2986.7601770001784,3536.429446998227,5074.582019002264,6820.0,6948.0,6948.0,0.5377695,0.552013,0.579619,2967.9693435,3529.302559,5065.7237565000005,,,,,,,,,,,,,,,,,,,,,,,,
bounds,chain,8,forward,10,True,verdict,nibli,15,15,0,0,15,15,0,0,8,8,1.0,2887.3771774997294,3627.8222569999343,5381.57799200053,6820.0,6948.0,6948.0,0.5424640000000001,0.566804,0.5948929999999999,2881.0620275,3621.1038320000002,5191.3023605,,,,,,,,,,,,,,,,,,,,,,,,
bounds,chain,8,forward,20,False,verdict,nibli,15,15,0,0,15,12,3,0,8,8,0.8,3301.7397785006324,3553.3438569982536,4837.781596501372,6820.0,6820.0,6948.0,0.5399395,0.5894469999999999,0.6250015,3292.627293,3547.011223,4831.194084500001,,,,,,,,,,,,,,,,,,,,,,,,
bounds,chain,8,forward,20,True,verdict,nibli,15,15,0,0,15,15,0,0,8,8,1.0,2976.1317679995045,3491.607305000798,4969.302015000721,6820.0,6820.0,6948.0,0.535209,0.549053,0.5792089999999999,2969.199948,3486.275243,4963.0211615,,,,,,,,,,,,,,,,,,,,,,,,
bounds,policy,100,both,2,False,verdict,nibli,15,15,0,0,30,30,0,0,93,100,1.0,3505.371189499783,3585.9054649990867,3670.655101000193,118798.0,120472.0,120962.0,42.079398999999995,43.477957999999994,44.584906000000004,3407.8453485,3482.420387,3568.805829,,,,,,,,,,,,,,,,,,,,,,,,
bounds,policy,100,both,2,True,verdict,nibli,15,15,0,0,30,30,0,0,93,100,1.0,44.34635950019583,46.54743300125119,49.50970400022925,6436.0,6436.0,6564.0,40.33307550000001,42.297993999999996,45.173931499999995,0.327538,0.336527,0.3581734999999999,,,,,,,,,,,,,,,,,,,,,,,,
bounds,policy,100,both,5,False,verdict,nibli,15,15,0,0,30,30,0,0,93,100,1.0,3461.0923625004943,3596.314505000919,3761.773196500144,118744.0,120324.0,121782.0,41.689363,43.713166,45.453158,3365.2325925,3499.3776580000003,3607.718113,,,,,,,,,,,,,,,,,,,,,,,,
bounds,policy,100,both,5,True,verdict,nibli,15,15,0,0,30,30,0,0,93,100,1.0,44.296377000137,46.15697400004137,48.39063150029688,6436.0,6436.0,6564.0,40.071426,42.15278,44.2361595,0.32847,0.335522,0.3496815,,,,,,,,,,,,,,,,,,,,,,,,
